A monkey liked a dog that burned a plant .	monkey ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod ( x _ 4 , x _ 6 ) AND burn . agent ( x _ 6 , x _ 4 ) AND burn . theme ( x _ 6 , x _ 8 ) AND plant ( x _ 8 )	like ( agent = monkey , theme = dog ( nmod = burn ( agent = dog , theme = plant ) ) )	
Liam burned the girl that valued Lily .	* girl ( x _ 3 ) ; burn . agent ( x _ 1 , Liam ) AND burn . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND value . agent ( x _ 5 , x _ 3 ) AND value . theme ( x _ 5 , Lily )	burn ( agent = Liam , theme = * girl ( nmod = value ( agent = * girl , theme = Lily ) ) )	
Elijah helped the boy that Leo crumpled .	* boy ( x _ 3 ) ; help . agent ( x _ 1 , Elijah ) AND help . theme ( x _ 1 , x _ 3 ) AND boy . nmod ( x _ 3 , x _ 6 ) AND crumple . agent ( x _ 6 , Leo ) AND crumple . theme ( x _ 6 , x _ 3 )	help ( agent = Elijah , theme = * boy ( nmod = crumple ( agent = Leo , theme = * boy ) ) )	
Dylan sold Elijah a cake that was rolled .	sell . agent ( x _ 1 , Dylan ) AND sell . recipient ( x _ 1 , Elijah ) AND sell . theme ( x _ 1 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND roll . theme ( x _ 7 , x _ 4 )	sell ( agent = Dylan , recipient = Elijah , theme = cake ( nmod = roll ( theme = cake ) ) )	
Audrey helped a cookie that Alexander tossed .	help . agent ( x _ 1 , Audrey ) AND help . theme ( x _ 1 , x _ 3 ) AND cookie ( x _ 3 ) AND cookie . nmod ( x _ 3 , x _ 6 ) AND toss . agent ( x _ 6 , Alexander ) AND toss . theme ( x _ 6 , x _ 3 )	help ( agent = Audrey , theme = cookie ( nmod = toss ( agent = Alexander , theme = cookie ) ) )	
The dog drew the girl that ate .	* dog ( x _ 1 ) ; * girl ( x _ 4 ) ; draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND eat . agent ( x _ 6 , x _ 4 )	draw ( agent = * dog , theme = * girl ( nmod = eat ( agent = * girl ) ) )	
A teacher fed a donut that was sketched by the cat to Ava .	* cat ( x _ 10 ) ; teacher ( x _ 1 ) AND feed . agent ( x _ 2 , x _ 1 ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . recipient ( x _ 2 , Ava ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 7 ) AND sketch . theme ( x _ 7 , x _ 4 ) AND sketch . agent ( x _ 7 , x _ 10 )	feed ( agent = teacher , theme = donut ( nmod = sketch ( theme = donut , agent = * cat ) ) , recipient = Ava )	
The hero liked a donut that rolled .	* hero ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 4 )	like ( agent = * hero , theme = donut ( nmod = roll ( theme = donut ) ) )	
James liked a cake that Emma forwarded Olivia .	like . agent ( x _ 1 , James ) AND like . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND forward . agent ( x _ 6 , Emma ) AND forward . recipient ( x _ 6 , Olivia ) AND forward . theme ( x _ 6 , x _ 3 )	like ( agent = James , theme = cake ( nmod = forward ( agent = Emma , recipient = Olivia , theme = cake ) ) )	
The girl painted the drink that Emma ate .	* girl ( x _ 1 ) ; * drink ( x _ 4 ) ; paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND drink . nmod ( x _ 4 , x _ 7 ) AND eat . agent ( x _ 7 , Emma ) AND eat . theme ( x _ 7 , x _ 4 )	paint ( agent = * girl , theme = * drink ( nmod = eat ( agent = Emma , theme = * drink ) ) )	
The cat ate a donut that froze .	* cat ( x _ 1 ) ; eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 6 ) AND freeze . theme ( x _ 6 , x _ 4 )	eat ( agent = * cat , theme = donut ( nmod = freeze ( theme = donut ) ) )	
Olivia liked a cake that Jack found .	like . agent ( x _ 1 , Olivia ) AND like . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND find . agent ( x _ 6 , Jack ) AND find . theme ( x _ 6 , x _ 3 )	like ( agent = Olivia , theme = cake ( nmod = find ( agent = Jack , theme = cake ) ) )	
Liam found a needle that a girl lended to a bird .	find . agent ( x _ 1 , Liam ) AND find . theme ( x _ 1 , x _ 3 ) AND needle ( x _ 3 ) AND needle . nmod ( x _ 3 , x _ 7 ) AND girl ( x _ 6 ) AND lend . agent ( x _ 7 , x _ 6 ) AND lend . recipient ( x _ 7 , x _ 10 ) AND lend . theme ( x _ 7 , x _ 3 ) AND bird ( x _ 10 )	find ( agent = Liam , theme = needle ( nmod = lend ( agent = girl , recipient = bird , theme = needle ) ) )	
Isabella helped the rose that Mason served to the girl .	* rose ( x _ 3 ) ; * girl ( x _ 9 ) ; help . agent ( x _ 1 , Isabella ) AND help . theme ( x _ 1 , x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND serve . agent ( x _ 6 , Mason ) AND serve . recipient ( x _ 6 , x _ 9 ) AND serve . theme ( x _ 6 , x _ 3 )	help ( agent = Isabella , theme = * rose ( nmod = serve ( agent = Mason , recipient = * girl , theme = * rose ) ) )	
The cat drew the strawberry that a boy passed Ava .	* cat ( x _ 1 ) ; * strawberry ( x _ 4 ) ; draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND strawberry . nmod ( x _ 4 , x _ 8 ) AND boy ( x _ 7 ) AND pass . agent ( x _ 8 , x _ 7 ) AND pass . recipient ( x _ 8 , Ava ) AND pass . theme ( x _ 8 , x _ 4 )	draw ( agent = * cat , theme = * strawberry ( nmod = pass ( agent = boy , recipient = Ava , theme = * strawberry ) ) )	
Jayden ate a cookie that was eaten by Daniel .	eat . agent ( x _ 1 , Jayden ) AND eat . theme ( x _ 1 , x _ 3 ) AND eat . theme ( x _ 1 , x _ 3 ) AND eat . agent ( x _ 1 , Daniel ) AND cookie ( x _ 3 ) AND cookie . nmod ( x _ 3 , x _ 6 ) AND eat . agent ( x _ 6 , Jayden ) AND eat . theme ( x _ 6 , x _ 3 ) AND eat . theme ( x _ 6 , x _ 3 ) AND eat . agent ( x _ 6 , Daniel )	eat ( agent = Jayden , theme = cookie ( nmod = eat ( theme = cookie , agent = Daniel ) ) )	
Mateo found the cat that rolled .	* cat ( x _ 3 ) ; find . agent ( x _ 1 , Mateo ) AND find . theme ( x _ 1 , x _ 3 ) AND cat . nmod ( x _ 3 , x _ 5 ) AND roll . theme ( x _ 5 , x _ 3 )	find ( agent = Mateo , theme = * cat ( nmod = roll ( theme = * cat ) ) )	
Ava held Liam that a girl liked .	hold . agent ( x _ 1 , Ava ) AND hold . theme ( x _ 1 , Liam ) AND Liam . nmod ( x _ 2 , x _ 6 ) AND girl ( x _ 5 ) AND like . agent ( x _ 6 , x _ 5 ) AND like . theme ( x _ 6 , Liam )	hold ( agent = Ava , theme = Liam ( nmod = like ( agent = girl , theme = Liam ) ) )	
Emma inflated the box that was changed .	* box ( x _ 3 ) ; inflate . agent ( x _ 1 , Emma ) AND inflate . theme ( x _ 1 , x _ 3 ) AND box . nmod ( x _ 3 , x _ 6 ) AND change . theme ( x _ 6 , x _ 3 )	inflate ( agent = Emma , theme = * box ( nmod = change ( theme = * box ) ) )	
The prince threw a cake that Chloe packed .	* prince ( x _ 1 ) ; throw . agent ( x _ 2 , x _ 1 ) AND throw . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND pack . agent ( x _ 7 , Chloe ) AND pack . theme ( x _ 7 , x _ 4 )	throw ( agent = * prince , theme = cake ( nmod = pack ( agent = Chloe , theme = cake ) ) )	
A scientist helped Emma that Liam froze .	scientist ( x _ 1 ) AND help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 6 ) AND freeze . agent ( x _ 6 , Liam ) AND freeze . theme ( x _ 6 , Emma )	help ( agent = scientist , theme = Emma ( nmod = freeze ( agent = Liam , theme = Emma ) ) )	
The girl lended a donut that James cleaned to the cat .	* girl ( x _ 1 ) ; * cat ( x _ 10 ) ; lend . agent ( x _ 2 , x _ 1 ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . recipient ( x _ 2 , x _ 10 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 7 ) AND clean . agent ( x _ 7 , James ) AND clean . theme ( x _ 7 , x _ 4 )	lend ( agent = * girl , theme = donut ( nmod = clean ( agent = James , theme = donut ) ) , recipient = * cat )	
Charlotte saw a box that was given to a girl .	see . agent ( x _ 1 , Charlotte ) AND see . theme ( x _ 1 , x _ 3 ) AND box ( x _ 3 ) AND box . nmod ( x _ 3 , x _ 6 ) AND give . theme ( x _ 6 , x _ 3 ) AND give . recipient ( x _ 6 , x _ 9 ) AND girl ( x _ 9 )	see ( agent = Charlotte , theme = box ( nmod = give ( theme = box , recipient = girl ) ) )	
A frog rolled the pillow that Olivia burned .	* pillow ( x _ 4 ) ; frog ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND pillow . nmod ( x _ 4 , x _ 7 ) AND burn . agent ( x _ 7 , Olivia ) AND burn . theme ( x _ 7 , x _ 4 )	roll ( agent = frog , theme = * pillow ( nmod = burn ( agent = Olivia , theme = * pillow ) ) )	
The frog drew a donut that was served to Liam by the boy .	* frog ( x _ 1 ) ; * boy ( x _ 12 ) ; draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 7 ) AND serve . theme ( x _ 7 , x _ 4 ) AND serve . recipient ( x _ 7 , Liam ) AND serve . agent ( x _ 7 , x _ 12 )	draw ( agent = * frog , theme = donut ( nmod = serve ( theme = donut , recipient = Liam , agent = * boy ) ) )	
Emma froze the rose that Oliver sent to a frog .	* rose ( x _ 3 ) ; freeze . agent ( x _ 1 , Emma ) AND freeze . theme ( x _ 1 , x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND send . agent ( x _ 6 , Oliver ) AND send . recipient ( x _ 6 , x _ 9 ) AND send . theme ( x _ 6 , x _ 3 ) AND frog ( x _ 9 )	freeze ( agent = Emma , theme = * rose ( nmod = send ( agent = Oliver , recipient = frog , theme = * rose ) ) )	
Noah respected a cake that Olivia rolled .	respect . agent ( x _ 1 , Noah ) AND respect . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND roll . agent ( x _ 6 , Olivia ) AND roll . theme ( x _ 6 , x _ 3 )	respect ( agent = Noah , theme = cake ( nmod = roll ( agent = Olivia , theme = cake ) ) )	
Joshua crumpled a donut that Hannah floated .	crumple . agent ( x _ 1 , Joshua ) AND crumple . theme ( x _ 1 , x _ 3 ) AND donut ( x _ 3 ) AND donut . nmod ( x _ 3 , x _ 6 ) AND float . agent ( x _ 6 , Hannah ) AND float . theme ( x _ 6 , x _ 3 )	crumple ( agent = Joshua , theme = donut ( nmod = float ( agent = Hannah , theme = donut ) ) )	
Liam burned a fly that found Olivia .	burn . agent ( x _ 1 , Liam ) AND burn . theme ( x _ 1 , x _ 3 ) AND fly ( x _ 3 ) AND fly . nmod ( x _ 3 , x _ 5 ) AND find . agent ( x _ 5 , x _ 3 ) AND find . theme ( x _ 5 , Olivia )	burn ( agent = Liam , theme = fly ( nmod = find ( agent = fly , theme = Olivia ) ) )	
Elijah shortened a ball that Olivia sold a girl .	shorten . agent ( x _ 1 , Elijah ) AND shorten . theme ( x _ 1 , x _ 3 ) AND ball ( x _ 3 ) AND ball . nmod ( x _ 3 , x _ 6 ) AND sell . agent ( x _ 6 , Olivia ) AND sell . recipient ( x _ 6 , x _ 8 ) AND sell . theme ( x _ 6 , x _ 3 ) AND girl ( x _ 8 )	shorten ( agent = Elijah , theme = ball ( nmod = sell ( agent = Olivia , recipient = girl , theme = ball ) ) )	
Olivia doubled the bear that intended to clean .	* bear ( x _ 3 ) ; double . agent ( x _ 1 , Olivia ) AND double . theme ( x _ 1 , x _ 3 ) AND bear . nmod ( x _ 3 , x _ 5 ) AND intend . agent ( x _ 5 , x _ 3 ) AND intend . xcomp ( x _ 5 , x _ 7 ) AND clean . agent ( x _ 7 , x _ 3 )	double ( agent = Olivia , theme = * bear ( nmod = intend ( agent = * bear , xcomp = clean ( agent = * bear ) ) ) )	
A girl liked Ava that a bee drew .	girl ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , Ava ) AND Ava . nmod ( x _ 3 , x _ 7 ) AND bee ( x _ 6 ) AND draw . agent ( x _ 7 , x _ 6 ) AND draw . theme ( x _ 7 , Ava )	like ( agent = girl , theme = Ava ( nmod = draw ( agent = bee , theme = Ava ) ) )	
The turkey liked the girl that noticed that Abigail loaned Emma the cake .	* turkey ( x _ 1 ) ; * girl ( x _ 4 ) ; * cake ( x _ 12 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND notice . agent ( x _ 6 , x _ 4 ) AND notice . ccomp ( x _ 6 , x _ 9 ) AND loan . agent ( x _ 9 , Abigail ) AND loan . recipient ( x _ 9 , Emma ) AND loan . theme ( x _ 9 , x _ 12 )	like ( agent = * turkey , theme = * girl ( nmod = notice ( agent = * girl , ccomp = loan ( agent = Abigail , recipient = Emma , theme = * cake ) ) ) )	
Noah rolled the cake that Nora passed Emma .	* cake ( x _ 3 ) ; roll . agent ( x _ 1 , Noah ) AND roll . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND pass . agent ( x _ 6 , Nora ) AND pass . recipient ( x _ 6 , Emma ) AND pass . theme ( x _ 6 , x _ 3 )	roll ( agent = Noah , theme = * cake ( nmod = pass ( agent = Nora , recipient = Emma , theme = * cake ) ) )	
Mila doubled a cat that nursed .	double . agent ( x _ 1 , Mila ) AND double . theme ( x _ 1 , x _ 3 ) AND cat ( x _ 3 ) AND cat . nmod ( x _ 3 , x _ 5 ) AND nurse . agent ( x _ 5 , x _ 3 )	double ( agent = Mila , theme = cat ( nmod = nurse ( agent = cat ) ) )	
A dog offered the balloon that was found to Emma .	* balloon ( x _ 4 ) ; dog ( x _ 1 ) AND offer . agent ( x _ 2 , x _ 1 ) AND offer . theme ( x _ 2 , x _ 4 ) AND offer . recipient ( x _ 2 , Emma ) AND balloon . nmod ( x _ 4 , x _ 7 ) AND find . theme ( x _ 7 , x _ 4 )	offer ( agent = dog , theme = * balloon ( nmod = find ( theme = * balloon ) ) , recipient = Emma )	
Sophia sold the cookie that grew to the girl .	* cookie ( x _ 3 ) ; * girl ( x _ 8 ) ; sell . agent ( x _ 1 , Sophia ) AND sell . theme ( x _ 1 , x _ 3 ) AND sell . recipient ( x _ 1 , x _ 8 ) AND cookie . nmod ( x _ 3 , x _ 5 ) AND grow . theme ( x _ 5 , x _ 3 )	sell ( agent = Sophia , theme = * cookie ( nmod = grow ( theme = * cookie ) ) , recipient = * girl )	
The bunny liked a girl that hunted .	* bunny ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND hunt . agent ( x _ 6 , x _ 4 )	like ( agent = * bunny , theme = girl ( nmod = hunt ( agent = girl ) ) )	
The squirrel drew the pen that the girl passed Noah .	* squirrel ( x _ 1 ) ; * pen ( x _ 4 ) ; * girl ( x _ 7 ) ; draw . agent ( x _ 2 , x _ 1 ) AND draw . theme ( x _ 2 , x _ 4 ) AND pen . nmod ( x _ 4 , x _ 8 ) AND pass . agent ( x _ 8 , x _ 7 ) AND pass . recipient ( x _ 8 , Noah ) AND pass . theme ( x _ 8 , x _ 4 )	draw ( agent = * squirrel , theme = * pen ( nmod = pass ( agent = * girl , recipient = Noah , theme = * pen ) ) )	
The priest ate a girl that rolled a tourist .	* priest ( x _ 1 ) ; eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND roll . agent ( x _ 6 , x _ 4 ) AND roll . theme ( x _ 6 , x _ 8 ) AND tourist ( x _ 8 )	eat ( agent = * priest , theme = girl ( nmod = roll ( agent = girl , theme = tourist ) ) )	
Hannah rented a girl a box that Olivia found .	rent . agent ( x _ 1 , Hannah ) AND rent . recipient ( x _ 1 , x _ 3 ) AND rent . theme ( x _ 1 , x _ 5 ) AND girl ( x _ 3 ) AND box ( x _ 5 ) AND box . nmod ( x _ 5 , x _ 8 ) AND find . agent ( x _ 8 , Olivia ) AND find . theme ( x _ 8 , x _ 5 )	rent ( agent = Hannah , recipient = girl , theme = box ( nmod = find ( agent = Olivia , theme = box ) ) )	
The sailor lended a shoe that was thrown to the boy .	* sailor ( x _ 1 ) ; * boy ( x _ 10 ) ; lend . agent ( x _ 2 , x _ 1 ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . recipient ( x _ 2 , x _ 10 ) AND shoe ( x _ 4 ) AND shoe . nmod ( x _ 4 , x _ 7 ) AND throw . theme ( x _ 7 , x _ 4 )	lend ( agent = * sailor , theme = shoe ( nmod = throw ( theme = shoe ) ) , recipient = * boy )	
The girl discovered Emma that the butterfly called .	* girl ( x _ 1 ) ; * butterfly ( x _ 6 ) ; discover . agent ( x _ 2 , x _ 1 ) AND discover . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 7 ) AND call . agent ( x _ 7 , x _ 6 ) AND call . theme ( x _ 7 , Emma )	discover ( agent = * girl , theme = Emma ( nmod = call ( agent = * butterfly , theme = Emma ) ) )	
The cat helped the cake that the boy lended Elizabeth .	* cat ( x _ 1 ) ; * cake ( x _ 4 ) ; * boy ( x _ 7 ) ; help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 8 ) AND lend . agent ( x _ 8 , x _ 7 ) AND lend . recipient ( x _ 8 , Elizabeth ) AND lend . theme ( x _ 8 , x _ 4 )	help ( agent = * cat , theme = * cake ( nmod = lend ( agent = * boy , recipient = Elizabeth , theme = * cake ) ) )	
Emma liked Isabella that Evelyn burned .	like . agent ( x _ 1 , Emma ) AND like . theme ( x _ 1 , Isabella ) AND Isabella . nmod ( x _ 2 , x _ 5 ) AND burn . agent ( x _ 5 , Evelyn ) AND burn . theme ( x _ 5 , Isabella )	like ( agent = Emma , theme = Isabella ( nmod = burn ( agent = Evelyn , theme = Isabella ) ) )	
Sophia grew the girl that a sailor tossed .	* girl ( x _ 3 ) ; grow . agent ( x _ 1 , Sophia ) AND grow . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 7 ) AND sailor ( x _ 6 ) AND toss . agent ( x _ 7 , x _ 6 ) AND toss . theme ( x _ 7 , x _ 3 )	grow ( agent = Sophia , theme = * girl ( nmod = toss ( agent = sailor , theme = * girl ) ) )	
The boy shortened a cake that the guard lended Emma .	* boy ( x _ 1 ) ; * guard ( x _ 7 ) ; shorten . agent ( x _ 2 , x _ 1 ) AND shorten . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 8 ) AND lend . agent ( x _ 8 , x _ 7 ) AND lend . recipient ( x _ 8 , Emma ) AND lend . theme ( x _ 8 , x _ 4 )	shorten ( agent = * boy , theme = cake ( nmod = lend ( agent = * guard , recipient = Emma , theme = cake ) ) )	
Isabella sent Avery the cake that shortened .	* cake ( x _ 4 ) ; send . agent ( x _ 1 , Isabella ) AND send . recipient ( x _ 1 , Avery ) AND send . theme ( x _ 1 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 6 ) AND shorten . theme ( x _ 6 , x _ 4 )	send ( agent = Isabella , recipient = Avery , theme = * cake ( nmod = shorten ( theme = * cake ) ) )	
Liam juggled the cake that the boy handed the governor .	* cake ( x _ 3 ) ; * boy ( x _ 6 ) ; * governor ( x _ 9 ) ; juggle . agent ( x _ 1 , Liam ) AND juggle . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 7 ) AND hand . agent ( x _ 7 , x _ 6 ) AND hand . recipient ( x _ 7 , x _ 9 ) AND hand . theme ( x _ 7 , x _ 3 )	juggle ( agent = Liam , theme = * cake ( nmod = hand ( agent = * boy , recipient = * governor , theme = * cake ) ) )	
A boy ate the pencil that was noticed .	* pencil ( x _ 4 ) ; boy ( x _ 1 ) AND eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND pencil . nmod ( x _ 4 , x _ 7 ) AND notice . theme ( x _ 7 , x _ 4 )	eat ( agent = boy , theme = * pencil ( nmod = notice ( theme = * pencil ) ) )	
A boy floated a duck that lended the drink to a girl .	* drink ( x _ 8 ) ; boy ( x _ 1 ) AND float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND duck ( x _ 4 ) AND duck . nmod ( x _ 4 , x _ 6 ) AND lend . agent ( x _ 6 , x _ 4 ) AND lend . theme ( x _ 6 , x _ 8 ) AND lend . recipient ( x _ 6 , x _ 11 ) AND girl ( x _ 11 )	float ( agent = boy , theme = duck ( nmod = lend ( agent = duck , theme = * drink , recipient = girl ) ) )	
The girl gave the cake that was adored by the researcher to Emma .	* girl ( x _ 1 ) ; * cake ( x _ 4 ) ; * researcher ( x _ 10 ) ; give . agent ( x _ 2 , x _ 1 ) AND give . theme ( x _ 2 , x _ 4 ) AND give . recipient ( x _ 2 , Emma ) AND cake . nmod ( x _ 4 , x _ 7 ) AND adore . theme ( x _ 7 , x _ 4 ) AND adore . agent ( x _ 7 , x _ 10 )	give ( agent = * girl , theme = * cake ( nmod = adore ( theme = * cake , agent = * researcher ) ) , recipient = Emma )	
A student liked the researcher that rolled .	* researcher ( x _ 4 ) ; student ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND researcher . nmod ( x _ 4 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 4 )	like ( agent = student , theme = * researcher ( nmod = roll ( theme = * researcher ) ) )	
The girl rolled the coach that sneezed .	* girl ( x _ 1 ) ; * coach ( x _ 4 ) ; roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND coach . nmod ( x _ 4 , x _ 6 ) AND sneeze . agent ( x _ 6 , x _ 4 )	roll ( agent = * girl , theme = * coach ( nmod = sneeze ( agent = * coach ) ) )	
Emma gave a baby a cake that the girl ate .	* girl ( x _ 8 ) ; give . agent ( x _ 1 , Emma ) AND give . recipient ( x _ 1 , x _ 3 ) AND give . theme ( x _ 1 , x _ 5 ) AND baby ( x _ 3 ) AND cake ( x _ 5 ) AND cake . nmod ( x _ 5 , x _ 9 ) AND eat . agent ( x _ 9 , x _ 8 ) AND eat . theme ( x _ 9 , x _ 5 )	give ( agent = Emma , recipient = baby , theme = cake ( nmod = eat ( agent = * girl , theme = cake ) ) )	
Ella found the girl that rolled .	* girl ( x _ 3 ) ; find . agent ( x _ 1 , Ella ) AND find . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND roll . theme ( x _ 5 , x _ 3 )	find ( agent = Ella , theme = * girl ( nmod = roll ( theme = * girl ) ) )	
A girl rolled the pencil that the teacher gave to Levi .	* pencil ( x _ 4 ) ; * teacher ( x _ 7 ) ; girl ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND pencil . nmod ( x _ 4 , x _ 8 ) AND give . agent ( x _ 8 , x _ 7 ) AND give . recipient ( x _ 8 , Levi ) AND give . theme ( x _ 8 , x _ 4 )	roll ( agent = girl , theme = * pencil ( nmod = give ( agent = * teacher , recipient = Levi , theme = * pencil ) ) )	
Aubrey saw Olivia that Leah adored .	see . agent ( x _ 1 , Aubrey ) AND see . theme ( x _ 1 , Olivia ) AND Olivia . nmod ( x _ 2 , x _ 5 ) AND adore . agent ( x _ 5 , Leah ) AND adore . theme ( x _ 5 , Olivia )	see ( agent = Aubrey , theme = Olivia ( nmod = adore ( agent = Leah , theme = Olivia ) ) )	
The pupil cooked the horse that Emma crumpled .	* pupil ( x _ 1 ) ; * horse ( x _ 4 ) ; cook . agent ( x _ 2 , x _ 1 ) AND cook . theme ( x _ 2 , x _ 4 ) AND horse . nmod ( x _ 4 , x _ 7 ) AND crumple . agent ( x _ 7 , Emma ) AND crumple . theme ( x _ 7 , x _ 4 )	cook ( agent = * pupil , theme = * horse ( nmod = crumple ( agent = Emma , theme = * horse ) ) )	
The girl liked a cake that Lily studied .	* girl ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND study . agent ( x _ 7 , Lily ) AND study . theme ( x _ 7 , x _ 4 )	like ( agent = * girl , theme = cake ( nmod = study ( agent = Lily , theme = cake ) ) )	
The king cooked a girl that offered the bear the cake .	* king ( x _ 1 ) ; * bear ( x _ 8 ) ; * cake ( x _ 10 ) ; cook . agent ( x _ 2 , x _ 1 ) AND cook . theme ( x _ 2 , x _ 4 ) AND girl ( x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND offer . agent ( x _ 6 , x _ 4 ) AND offer . recipient ( x _ 6 , x _ 8 ) AND offer . theme ( x _ 6 , x _ 10 )	cook ( agent = * king , theme = girl ( nmod = offer ( agent = girl , recipient = * bear , theme = * cake ) ) )	
Emma gave the guy the cake that the girl froze .	* guy ( x _ 3 ) ; * cake ( x _ 5 ) ; * girl ( x _ 8 ) ; give . agent ( x _ 1 , Emma ) AND give . recipient ( x _ 1 , x _ 3 ) AND give . theme ( x _ 1 , x _ 5 ) AND cake . nmod ( x _ 5 , x _ 9 ) AND freeze . agent ( x _ 9 , x _ 8 ) AND freeze . theme ( x _ 9 , x _ 5 )	give ( agent = Emma , recipient = * guy , theme = * cake ( nmod = freeze ( agent = * girl , theme = * cake ) ) )	
The giraffe tolerated Olivia that Noah liked .	* giraffe ( x _ 1 ) ; tolerate . agent ( x _ 2 , x _ 1 ) AND tolerate . theme ( x _ 2 , Olivia ) AND Olivia . nmod ( x _ 3 , x _ 6 ) AND like . agent ( x _ 6 , Noah ) AND like . theme ( x _ 6 , Olivia )	tolerate ( agent = * giraffe , theme = Olivia ( nmod = like ( agent = Noah , theme = Olivia ) ) )	
Emma liked the donut that Ava lended to Ella .	* donut ( x _ 3 ) ; like . agent ( x _ 1 , Emma ) AND like . theme ( x _ 1 , x _ 3 ) AND donut . nmod ( x _ 3 , x _ 6 ) AND lend . agent ( x _ 6 , Ava ) AND lend . recipient ( x _ 6 , Ella ) AND lend . theme ( x _ 6 , x _ 3 )	like ( agent = Emma , theme = * donut ( nmod = lend ( agent = Ava , recipient = Ella , theme = * donut ) ) )	
